,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
2937,Bucky McConnell,1953,1953,G,5-10,170.0,July 1 1928,,mcconbu01
2938,T.J. McConnell,2016,2023,G,6-1,190.0,March 25 1992,Duquesne Arizona,mccontj01
2939,Keith McCord,1981,1981,G,6-7,210.0,June 22 1957,Alabama UAB,mccorke01
2940,Tim McCormick,1985,1992,C,6-11,240.0,March 10 1962,Michigan,mccorti01
2941,Jelani McCoy,1999,2008,C,6-10,245.0,December 6 1977,UCLA,mccoyje01
2942,Paul McCracken,1973,1977,G,6-4,180.0,September 11 1950,Cal State Northridge,mccrapa01
2943,Chris McCray,2007,2007,G,6-5,192.0,May 27 1984,Maryland,mccrach01
2944,Rodney McCray,1984,1993,F-G,6-7,220.0,August 29 1961,Louisville,mccraro01
2945,Scooter McCray,1984,1987,F-G,6-9,215.0,February 8 1960,Louisville,mccrasc01
2946,Erik McCree,2018,2018,F,6-7,219.0,December 20 1993,Louisiana Tech,mccreer01
2947,Chris McCullough,2016,2018,F,6-11,200.0,February 5 1995,Syracuse,mcculch01
2948,John McCullough,1982,1982,G,6-4,190.0,October 5 1956,Oklahoma,mcculjo01
2949,Clint McDaniel,1996,1996,G,6-4,180.0,February 26 1972,Arkansas,mcdancl01
2950,Xavier McDaniel,1986,1998,F,6-7,205.0,June 4 1963,Wichita State,mcdanxa01
2951,Jaden McDaniels,2021,2023,F,6-9,185.0,September 29 2000,Washington,mcdanja02
2952,Jalen McDaniels,2020,2023,F,6-9,205.0,January 31 1998,San Diego State,mcdanja01
2953,Jim McDaniels,1972,1978,C-F,6-11,228.0,April 2 1948,Western Kentucky,mcdanji01
2954,K.J. McDaniels,2015,2017,G-F,6-6,205.0,February 9 1993,Clemson,mcdankj01
2955,Doug McDermott,2015,2023,F,6-7,225.0,January 3 1992,Creighton,mcderdo01
2956,Sean McDermott,2021,2021,F,6-6,195.0,November 3 1996,Butler,mcderse01
2957,Ben McDonald,1986,1989,F,6-8,210.0,July 20 1962,University of California Irvine,mcdonbe01
2958,Glenn McDonald,1975,1977,F-G,6-6,190.0,March 18 1952,Cal State Long Beach,mcdongl01
2959,Michael McDonald,1998,1998,C,6-10,232.0,February 13 1969,Utah Valley New Orleans,mcdonmi01
2960,Rod McDonald,1971,1973,F,6-6,205.0,April 9 1945,Whitworth,mcdonro01
2961,Hank McDowell,1982,1987,F-C,6-9,215.0,November 13 1959,Memphis,mcdowha01
2962,Antonio McDyess,1996,2011,F-C,6-9,220.0,September 7 1974,Alabama,mcdyean01
2963,Jim McElroy,1976,1982,G,6-3,190.0,October 4 1953,Central Michigan University,mcelrji01
2964,Pat McFarland,1974,1976,F-G,6-5,185.0,December 7 1951,Saint Joseph's,mcfarpa01
2965,Ivan McFarlin,2007,2007,F,6-8,240.0,April 26 1982,Oklahoma State,mcfariv01
2966,Mel McGaha,1949,1949,G,6-1,190.0,September 26 1926,Arkansas,mcgahme01
2967,Mitch McGary,2015,2016,F-C,6-10,255.0,June 6 1992,Michigan,mcgarmi01
2968,JaVale McGee,2009,2023,C,7-0,270.0,January 19 1988,Nevada,mcgeeja01
2969,Mike McGee,1982,1990,G-F,6-5,190.0,July 29 1959,Michigan,mcgeemi01
2970,Bill McGill,1963,1970,C-F,6-9,225.0,September 16 1939,Utah,mcgilbi01
2971,George McGinnis,1972,1982,F-C,6-8,235.0,August 12 1950,Indiana,mcginge01
2972,Jon McGlocklin,1966,1976,G-F,6-5,205.0,June 10 1943,Indiana,mcglojo01
2973,Bryce McGowens,2023,2023,G-F,6-7,179.0,November 8 2002,Nebraska,mcgowbr01
2974,Tracy McGrady,1998,2012,F-G,6-8,210.0,May 24 1979,,mcgratr01
2975,Gil McGregor,1972,1972,F,6-8,240.0,June 14 1949,Wake Forest,mcgregi01
2976,Cameron McGriff,2022,2022,F,6-7,230.0,September 30 1997,Oklahoma State,mcgrica01
2977,Elton McGriff,1968,1969,C,6-9,225.0,August 21 1942,City College of San Francisco Creighton,mcgriel01
2978,Rodney McGruder,2017,2023,G,6-4,205.0,July 29 1991,Kansas State,mcgruro01
2979,Alfred McGuire,1952,1955,G-F,6-2,180.0,September 7 1928,St. John's,mcguial01
2980,Allie McGuire,1974,1974,G,6-3,175.0,July 10 1951,Marquette,mcguial02
2981,Dick McGuire,1950,1960,G,6-0,180.0,January 25 1926,St. John's,mcguidi01
2982,Dominic McGuire,2008,2013,F,6-9,220.0,October 20 1985,California Fresno State,mcguido01
2983,Kevin McHale,1981,1993,F-C,6-10,210.0,December 19 1957,Minnesota,mchalke01
2984,Maurice McHartley,1968,1970,G-F,6-3,185.0,August 1 1942,North Carolina A&T,mcharma01
2985,Jim McIlvaine,1995,2001,C,7-1,240.0,July 30 1972,Marquette,mcilvji01
2986,Jeff McInnis,1997,2008,G,6-4,190.0,October 22 1974,UNC,mcinnje01
2987,Kenny McIntosh,1972,1975,F,6-7,225.0,January 21 1949,Eastern Michigan,mcintke01
2988,Bob McIntyre,1968,1970,F,6-6,215.0,January 23 1944,St. John's,mcintbo01
2989,Jerry McKee,1970,1970,G,6-3,190.0,August 4 1946,Ohio University,mckeeje01
2990,Kevin McKenna,1982,1988,G-F,6-5,195.0,January 8 1959,Creighton,mckenke01
2991,Forrest McKenzie,1987,1987,F,6-7,200.0,February 16 1963,Loyola Marymount,mckenfo01
2992,Stan McKenzie,1968,1974,F-G,6-5,195.0,October 6 1944,NYU,mckenst01
2993,Derrick McKey,1988,2002,F-C,6-9,205.0,October 10 1966,Alabama,mckeyde01
2994,Aaron McKie,1995,2007,G,6-5,209.0,October 2 1972,Temple,mckieaa01
2995,Billy McKinney,1979,1986,G,6-0,160.0,June 5 1955,Northwestern,mckinbi01
2996,Bones McKinney,1947,1952,F-C,6-6,185.0,January 1 1919,UNC,mckinbo01
2997,Carlton McKinney,1990,1992,G,6-4,190.0,October 21 1964,Tulsa SMU,mckinca01
2998,Trey McKinney-Jones,2018,2018,G,6-5,214.0,August 27 1990,Missouri-Kansas City Miami (FL),mckintr01
2999,Alfonzo McKinnie,2018,2022,F,6-7,215.0,September 17 1992,Green Bay,mckinal01
3000,JaQuori McLaughlin,2022,2022,G,6-4,190.0,January 29 1998,Oregon State UC Santa Barbara,mclauja01
3001,Jordan McLaughlin,2020,2023,G,5-11,185.0,April 9 1996,USC,mclaujo01
3002,Ben McLemore,2014,2022,G,6-3,195.0,February 11 1993,Kansas,mclembe01
3003,McCoy McLemore,1965,1972,F-C,6-7,230.0,April 3 1942,Drake University,mclemmc01
3004,George McLeod,1953,1953,F,6-5,200.0,January 3 1931,TCU,mcleoge01
3005,Keith McLeod,2004,2007,G,6-2,188.0,November 5 1979,Bowling Green,mcleoke01
3006,Roshown McLeod,1999,2001,F,6-8,221.0,November 17 1975,St. John's Duke,mcleoro01
3007,Jack McMahon,1953,1960,G,6-1,185.0,December 3 1928,St. John's,mcmahja01
3008,Nate McMillan,1987,1998,G-F,6-5,195.0,August 3 1964,NC State,mcmilna01
3009,Tom McMillen,1976,1986,F-C,6-11,215.0,May 26 1952,Maryland,mcmilto01
3010,Jim McMillian,1971,1979,F,6-5,215.0,March 11 1948,Columbia University,mcmilji01
3011,Shellie McMillon,1959,1962,F,6-5,205.0,March 11 1936,Bradley,mcmilsh01
3012,Mal McMullen,1950,1951,F-C,6-5,210.0,August 23 1927,Xavier,mcmulma01
3013,Chet McNabb,1948,1948,F,6-2,200.0,September 19 1920,Arizona State,mcnabch01
3014,Mark McNamara,1983,1991,C-F,6-11,235.0,June 8 1959,Santa Clara California,mcnamma01
3015,Joe McNamee,1951,1952,F-C,6-6,210.0,September 24 1926,San Francisco,mcnamjo01
3016,Jerel McNeal,2015,2015,G,6-3,200.0,June 1 1987,Marquette,mcneaje01
3017,Chris McNealy,1986,1988,F,6-7,210.0,July 15 1961,San Jose State,mcneach01
3018,Bob McNeill,1961,1962,G,6-1,170.0,October 22 1938,Saint Joseph's,mcneibo01
3019,Larry McNeill,1974,1979,F-C,6-9,195.0,January 31 1951,Marquette,mcneila01
3020,Carl McNulty,1955,1955,G,6-3,185.0,February 14 1930,Purdue,mcnulca01
3021,Paul McPherson,2001,2001,G,6-4,210.0,July 3 1978,DePaul,mcphepa01
3022,Roy McPipe,1975,1975,G,6-3,205.0,May 5 1950,Montana State University Billings,mcpipro01
3023,Cozell McQueen,1987,1987,F,6-11,235.0,January 18 1962,NC State,mcqueco01
3024,Jordan McRae,2016,2020,G,6-5,179.0,March 28 1991,Tennessee,mcraejo01
3025,Thales McReynolds,1966,1966,G,6-3,185.0,June 8 1943,Miles College,mcreyth01
3026,Josh McRoberts,2008,2018,F,6-10,240.0,February 28 1987,Duke,mcrobjo01
3027,Eric McWilliams,1973,1973,F,6-8,200.0,April 18 1950,Cal State Long Beach,mcwiler01
3028,George Mearns,1947,1948,F,6-3,175.0,April 18 1922,Rhode Island,mearnge01
3029,Stanislav Medvedenko,2001,2007,F,6-10,250.0,April 4 1979,,medvest01
3030,Darnell Mee,1994,1995,G,6-5,175.0,February 11 1971,Western Kentucky,meeda01
3031,Jodie Meeks,2010,2019,G,6-4,210.0,August 21 1987,Kentucky,meeksjo01
3032,Cliff Meely,1972,1976,F-C,6-8,215.0,July 10 1947,Colorado,meelycl01
3033,Scott Meents,1990,1991,F,6-10,225.0,January 4 1964,Illinois,meentsc01
3034,Dick Mehen,1950,1952,F-C,6-5,195.0,May 20 1922,Tennessee,mehendi01
3035,Monk Meineke,1953,1958,F-C,6-7,208.0,October 30 1930,Dayton,meinemo01
3036,Carl Meinhold,1948,1949,G-F,6-2,185.0,March 29 1926,Long Island University,meinhca01
3037,Salah Mejri,2016,2019,C,7-2,235.0,June 15 1986,,mejrisa01
3038,Gal Mekel,2014,2015,G,6-3,191.0,March 4 1988,Wichita State,mekelga01
3039,Bill Melchionni,1967,1976,G,6-1,165.0,October 19 1944,Villanova,melchbi01
3040,Gary Melchionni,1974,1975,G,6-2,185.0,January 19 1951,Duke,melchga01
3041,Nicolo Melli,2020,2021,F,6-9,236.0,January 26 1991,,mellini01
3042,Fab Melo,2013,2013,C,7-0,255.0,June 20 1990,Syracuse,melofa01
3043,De'Anthony Melton,2019,2023,G,6-2,200.0,May 28 1998,USC,meltode01
3044,Ed Melvin,1947,1947,G,5-9,170.0,February 13 1916,Duquesne,melvied01
3045,Dean Meminger,1972,1977,G,6-0,175.0,May 13 1948,Marquette,meminde01
3046,Chuck Mencel,1956,1957,G,6-0,168.0,April 21 1933,Minnesota,mencech01
3047,John Mengelt,1972,1981,G,6-2,195.0,October 16 1949,Auburn,mengejo01
3048,Ken Menke,1950,1950,G,6-0,168.0,October 2 1922,Illinois,menkeke01
3049,Pops Mensah-Bonsu,2007,2011,F,6-9,240.0,September 7 1983,George Washington,mensapo01
3050,Dewitt Menyard,1968,1968,C,6-10,210.0,May 24 1944,Allan Hancock College Utah,menyade01
3051,Ron Mercer,1998,2005,G-F,6-7,210.0,May 18 1976,Kentucky,mercero01
3052,Joe Meriweather,1976,1985,C-F,6-10,215.0,October 26 1953,Southern Illinois,meriwjo01
3053,Porter Meriwether,1963,1963,G,6-2,180.0,March 16 1940,Tennessee State,meriwpo01
3054,Sam Merrill,2021,2022,G,6-4,205.0,May 15 1996,Utah State University,merrisa01
3055,Tom Meschery,1962,1971,F,6-6,215.0,October 26 1938,Saint Mary's,meschto01
3056,Chimezie Metu,2019,2023,F,6-9,225.0,March 22 1997,USC,metuch01
3057,Bill Meyer,1968,1968,G,6-3,195.0,August 30 1943,Hiram College,meyerbi01
3058,Loren Meyer,1996,1999,C,6-10,257.0,December 30 1972,Iowa State,meyerlo01
3059,Dave Meyers,1976,1980,F-C,6-8,215.0,April 21 1953,UCLA,meyerda01
3060,Stan Miasek,1947,1953,C-F,6-5,210.0,September 19 1923,,miasest01
3061,Larry Micheaux,1984,1985,F,6-9,220.0,March 24 1960,Houston,michela01
3062,Jordan Mickey,2016,2018,F,6-8,235.0,July 9 1994,LSU,mickejo01
3063,Khris Middleton,2013,2022,F-G,6-7,222.0,August 12 1991,Texas A&M,middlkh01
3064,Red Mihalik,1947,1947,G,6-0,180.0,September 22 1916,,mihalre01
3065,Chris Mihm,2001,2009,C,7-0,265.0,July 16 1979,Texas,mihmch01
3066,Eric Mika,2020,2020,C,6-10,230.0,January 5 1995,BYU,mikaer01
3067,Ed Mikan,1949,1954,C-F,6-8,230.0,October 20 1925,DePaul,mikaned01
3068,George Mikan,1949,1956,C,6-10,245.0,June 18 1924,DePaul,mikange01
3069,Larry Mikan,1971,1971,F,6-7,210.0,April 8 1948,Minnesota,mikanla01
3070,Vern Mikkelsen,1950,1959,F-C,6-7,230.0,October 21 1928,Hamline University,mikkeve01
3071,Al Miksis,1950,1950,C,6-7,210.0,February 2 1928,Western Illinois University,miksial01
3072,Aaron Miles,2006,2006,G,6-1,175.0,April 13 1983,Kansas,milesaa01
3073,C.J. Miles,2006,2022,G-F,6-6,220.0,March 18 1987,,milescj01
3074,Darius Miles,2001,2009,F,6-9,210.0,October 9 1981,,milesda01
3075,Eddie Miles,1964,1972,G-F,6-4,195.0,July 5 1940,Seattle University,milesed01
3076,Marko Milic,1998,1999,G-F,6-6,235.0,May 7 1977,,milicma01
3077,Darko Milicic,2004,2013,F-C,7-0,250.0,June 20 1985,,milicda01
3078,Nat Militzok,1947,1947,F,6-3,195.0,May 3 1923,Cornell,militna01
3079,Andre Miller,2000,2016,G,6-3,200.0,March 19 1976,Utah,millean02
3080,Anthony Miller,1995,2005,F,6-9,225.0,October 22 1971,Michigan State,millean01
3081,Bill Miller,1949,1949,F,6-3,190.0,November 24 1924,UNC,millebi01
3082,Bob Miller,1984,1984,F,6-10,230.0,July 9 1956,Cincinnati,millebo01
3083,Brad Miller,1999,2012,C,6-11,244.0,April 12 1976,Purdue,millebr01
3084,Darius Miller,2013,2021,F,6-6,225.0,March 21 1990,Kentucky,milleda01
3085,Dick Miller,1981,1981,F,6-6,215.0,April 26 1958,Toledo,milledi01
3086,Eddie Miller,1953,1954,C-F,6-8,225.0,June 18 1931,Syracuse,milleed01
3087,Harry Miller,1947,1947,C-F,6-4,230.0,July 28 1923,UNC,milleha01
3088,Jay Miller,1968,1971,F,6-5,205.0,July 19 1943,Notre Dame,milleja01
3089,Larry Miller,1969,1975,G-F,6-4,190.0,April 4 1946,UNC,millela01
3090,Malcolm Miller,2018,2020,F,6-7,210.0,March 6 1993,Holy Cross,millema01
3091,Mike Miller,2001,2017,F-G,6-8,218.0,February 19 1980,Florida,millemi01
3092,Oliver Miller,1993,2004,C,6-9,280.0,April 6 1970,Arkansas,milleol01
3093,Quincy Miller,2013,2015,F,6-9,210.0,November 18 1992,Baylor,millequ01
3094,Reggie Miller,1988,2005,G-F,6-7,185.0,August 24 1965,UCLA,millere01
3095,Walt Miller,1947,1947,F,6-2,190.0,July 20 1915,Duquesne,millewa01
3096,Chris Mills,1994,2003,F,6-6,215.0,January 25 1970,Kentucky Arizona,millsch01
3097,John Mills,1947,1947,C-F,6-8,203.0,September 7 1919,Western Kentucky,millsjo01
3098,Patty Mills,2010,2023,G,6-1,180.0,August 11 1988,Saint Mary's,millspa02
3099,Terry Mills,1991,2001,F,6-10,230.0,December 21 1967,Michigan,millste01
3100,Elijah Millsap,2015,2017,G-F,6-6,225.0,August 12 1987,Louisiana UAB,millsel01
3101,Paul Millsap,2007,2022,F,6-7,257.0,February 10 1985,Louisiana Tech,millspa01
3102,Shake Milton,2019,2023,G,6-5,205.0,September 26 1996,SMU,miltosh01
3103,Harold Miner,1993,1996,G,6-5,210.0,May 5 1971,USC,minerha01
3104,Yao Ming,2003,2011,C,7-6,310.0,September 12 1980,,mingya01
3105,Dirk Minniefield,1986,1988,G,6-3,180.0,January 17 1961,Kentucky,minnidi01
3106,Dave Minor,1952,1953,G-F,6-2,185.0,February 23 1922,UCLA,minorda01
3107,Greg Minor,1995,1999,G-F,6-6,210.0,September 18 1971,Louisville,minorgr01
3108,Mark Minor,1973,1973,F,6-6,215.0,May 14 1950,Ohio State,minorma01
3109,Josh Minott,2023,2023,F,6-8,205.0,November 25 2002,Memphis,minotjo01
3110,Nikola Mirotic,2015,2019,F,6-10,250.0,February 11 1991,,mirotni01
3111,Wat Misaka,1948,1948,G,5-7,150.0,December 21 1923,Weber State Utah,misakwa01
3112,Jason Miskiri,2000,2000,G,6-2,175.0,August 19 1975,George Mason,miskija01
3113,Davion Mitchell,2022,2023,G,6-2,205.0,September 5 1998,Auburn Baylor,mitchda01
3114,Donovan Mitchell,2018,2023,G,6-1,215.0,September 7 1996,Louisville,mitchdo01
3115,Leland Mitchell,1968,1968,G,6-4,210.0,February 22 1941,Pearl River Community College Mississippi State,mitchle01
3116,Mike Mitchell,1979,1988,F,6-7,215.0,January 1 1956,Auburn,mitchmi01
3117,Murray Mitchell,1950,1950,C,6-6,,March 19 1923,Sam Houston State University,mitchmu01
3118,Sam Mitchell,1990,2002,F,6-6,210.0,September 2 1963,Mercer University,mitchsa01
3119,Todd Mitchell,1989,1989,F,6-7,205.0,July 26 1966,Purdue,mitchto01
3120,Tony Mitchell,2014,2014,F,6-6,216.0,August 7 1989,Alabama,mitchto03
3121,Tony Mitchell,2014,2014,F,6-8,235.0,April 7 1992,University of North Texas,mitchto02
3122,Naz Mitrou-Long,2018,2020,G,6-3,218.0,August 3 1993,Iowa State,mitrona01
3123,Steve Mix,1970,1983,F,6-7,215.0,December 30 1947,Toledo,mixst01
3124,Bill Mlkvy,1953,1953,F,6-4,190.0,January 19 1931,Temple,mlkvybi01
3125,Cuttino Mobley,1999,2009,G,6-4,190.0,September 1 1975,Rhode Island,moblecu01
3126,Eric Mobley,1995,1997,C,6-11,235.0,February 1 1970,Pitt,mobleer01
3127,Evan Mobley,2022,2023,F-C,7-0,215.0,June 18 2001,USC,mobleev01
3128,Isaiah Mobley,2023,2023,F,6-10,240.0,September 24 1999,USC,mobleis01
3129,Doug Moe,1968,1972,F-G,6-5,215.0,September 21 1938,UNC,moedo01
3130,Larry Moffett,1978,1978,F,6-8,210.0,November 5 1954,UNLV,moffela01
3131,Leo Mogus,1947,1951,F-C,6-4,190.0,April 13 1921,Youngstown State University,mogusle01
3132,Nazr Mohammed,1999,2016,C,6-10,221.0,September 5 1977,Kentucky,mohamna01
3133,Jerome Moiso,2001,2005,F-C,6-10,235.0,June 15 1978,UCLA,moisoje01
3134,Paul Mokeski,1980,1991,C-F,7-0,250.0,January 3 1957,Kansas,mokespa01
3135,Adam Mokoka,2020,2021,G,6-4,190.0,July 18 1998,,mokokad01
3136,Jack Molinas,1954,1954,F,6-6,200.0,October 31 1931,Columbia University,molinja01
3137,Wayne Molis,1967,1968,F,6-8,230.0,April 17 1943,Chicago State Lewis (IL),moliswa01
3138,Sidney Moncrief,1980,1991,G,6-4,180.0,September 21 1957,Arkansas,moncrsi01
3139,Chima Moneke,2023,2023,F,6-6,222.0,December 24 1995,Northeast Community College UC-Davis,monekch01
3140,Eric Money,1975,1980,G,6-0,170.0,February 6 1955,Arizona,moneyer01
3141,Sergei Monia,2006,2006,F,6-8,220.0,April 15 1983,,moniase01
3142,Malik Monk,2018,2023,G,6-3,200.0,February 4 1998,Kentucky,monkma01
3143,Earl Monroe,1968,1980,G,6-3,185.0,November 21 1944,Winston-Salem State,monroea01
3144,Greg Monroe,2011,2022,C-F,6-11,265.0,June 4 1990,Georgetown,monrogr01
3145,Rodney Monroe,1992,1992,G,6-3,185.0,April 16 1968,NC State,monroro01
3146,Luis Montero,2016,2018,G,6-7,185.0,April 6 1993,Westchester CC,montelu01
3147,Howie Montgomery,1963,1963,F,6-5,220.0,August 22 1940,University of Texas Rio Grande Valley,montgho01
3148,Eric Montross,1995,2002,C,7-0,270.0,September 23 1971,UNC,montrer01
3149,Moses Moody,2022,2023,G,6-6,205.0,May 31 2002,Arkansas,moodymo01
3150,Jamario Moon,2008,2012,F,6-8,205.0,June 13 1980,Meridian Community College,moonja01
3151,Xavier Moon,2022,2022,G,6-2,165.0,January 2 1995,Northwest Florida State College Morehead State University,moonxa01
3152,Jim Mooney,1953,1953,F,6-5,215.0,July 8 1930,Villanova,mooneji01
3153,Matt Mooney,2020,2022,G,6-3,199.0,February 7 1997,Air Force South Dakota Texas Tech,moonema01
3154,Andre Moore,1988,1988,F,6-9,215.0,July 2 1964,Loyola Chicago,moorean01
3155,Ben Moore,2018,2018,F,6-8,220.0,May 13 1995,SMU,moorebe01
3156,E'Twaun Moore,2012,2021,G-F,6-3,191.0,February 25 1989,Purdue,mooreet01
3157,Gene Moore,1969,1975,C-F,6-9,225.0,July 29 1945,Saint Louis,moorege01
3158,Jackie Moore,1955,1957,F,6-5,180.0,September 24 1932,La Salle,mooreja01
3159,Johnny Moore,1981,1990,G,6-1,175.0,March 3 1958,Texas,moorejo01
3160,Larry Moore,1968,1968,F,6-7,215.0,July 10 1942,Florida State,moorela01
3161,Lowes Moore,1981,1983,G,6-1,170.0,May 5 1957,West Virginia,moorelo01
3162,Mikki Moore,1999,2012,C-F,6-11,225.0,November 4 1975,Nebraska,mooremi01
3163,Otto Moore,1969,1977,C-F,6-11,205.0,August 27 1946,University of Texas Rio Grande Valley,mooreot01
3164,Richie Moore,1968,1968,G,6-2,190.0,,Villanova Hiram Scott College,mooreri01
3165,Ron Moore,1988,1988,C,7-0,260.0,January 16 1962,Salem University West Virginia State University,moorero01
3166,Tracy Moore,1992,1997,G-F,6-4,200.0,December 28 1965,Tulsa,mooretr01
3167,Wendell Moore Jr.,2023,2023,G-F,6-5,213.0,September 18 2001,Duke,moorewe01
3168,Ja Morant,2020,2023,G,6-3,174.0,August 10 1999,Murray State,moranja01
3169,Eric Moreland,2015,2019,F-C,6-10,238.0,December 24 1991,Oregon State,moreler01
3170,Jackie Moreland,1961,1970,F-G,6-7,215.0,March 11 1938,Louisiana Tech,morelja01
3171,Guy Morgan,1983,1983,G,6-8,205.0,August 23 1960,Wake Forest,morgagu01
3172,Juwan Morgan,2020,2022,F,6-7,232.0,April 17 1997,Indiana,morgaju01
3173,Rex Morgan,1971,1972,G,6-5,190.0,October 27 1948,Jacksonville University,morgare01
3174,Elmore Morgenthaler,1947,1949,C,6-9,230.0,August 3 1922,New Mexico Tech Boston College,morgeel01
3175,Darren Morningstar,1994,1994,C,6-10,235.0,April 22 1969,United States Naval Academy Pitt,mornida01
3176,Chris Morris,1989,1999,F,6-8,210.0,January 20 1966,Auburn,morrich01
3177,Darius Morris,2012,2015,G,6-4,190.0,January 3 1991,Michigan,morrida01
3178,Isaiah Morris,1993,1993,F,6-8,229.0,April 2 1969,Arkansas,morriis01
3179,Jaylen Morris,2018,2022,G,6-5,185.0,September 19 1995,Molloy,morrija01
3180,Marcus Morris,2012,2023,F,6-8,218.0,September 2 1989,Kansas,morrima03
3181,Markieff Morris,2012,2023,F,6-9,245.0,September 2 1989,Kansas,morrima02
3182,Max Morris,1950,1950,F-C,6-2,195.0,March 14 1925,Northwestern,morrima01
3183,Monte Morris,2018,2023,G,6-2,183.0,June 27 1995,Iowa State,morrimo01
3184,Randolph Morris,2007,2010,C,6-10,266.0,January 2 1986,Kentucky,morrira01
3185,Terence Morris,2002,2006,F,6-9,221.0,January 11 1979,Maryland,morrite01
3186,Adam Morrison,2007,2010,F,6-8,205.0,July 19 1984,Gonzaga,morriad01
3187,John Morrison,1968,1968,G,6-2,190.0,May 2 1945,Canisius,morrijo01
3188,Mike Morrison,1990,1990,G,6-4,195.0,August 16 1967,Loyola (MD),morrimi01
3189,Red Morrison,1955,1958,F-C,6-8,220.0,April 26 1932,Idaho,morrire01
3190,Anthony Morrow,2009,2017,G,6-5,210.0,September 27 1985,Georgia Tech,morroan01
3191,Dwayne Morton,1995,1995,F,6-7,195.0,August 8 1971,Louisville,mortodw01
3192,John Morton,1990,1992,G,6-3,180.0,May 18 1967,Seton Hall,mortojo01
3193,Richard Morton,1989,1989,G,6-3,190.0,February 2 1966,Cal State Fullerton,mortori01
3194,Glenn Mosley,1978,1979,F,6-8,195.0,December 26 1955,Seton Hall,moslegl01
3195,Perry Moss,1986,1987,G,6-2,185.0,November 11 1958,Northeastern University,mosspe01
3196,Lawrence Moten,1996,1998,G,6-5,185.0,March 25 1972,Syracuse,motenla01
3197,Donatas Motiejunas,2013,2019,F-C,7-0,222.0,September 20 1990,,motiedo01
3198,Johnathan Motley,2018,2020,F,6-8,230.0,May 4 1995,Baylor,motlejo01
3199,Hanno Mottola,2001,2002,C,6-11,247.0,September 9 1976,Utah,mottoha01
3200,Arnett Moultrie,2013,2014,F,6-11,249.0,November 18 1990,Texas-El Paso Mississippi State,moultar01
3201,Rick Mount,1971,1975,G,6-3,175.0,January 5 1947,Purdue,mountri01
3202,Alonzo Mourning,1993,2008,C,6-10,240.0,February 8 1970,Georgetown,mournal01
3203,Timofey Mozgov,2011,2018,C,7-1,275.0,July 16 1986,,mozgoti01
3204,Chuck Mrazovich,1951,1951,F,6-5,185.0,February 26 1924,Eastern Kentucky University,mrazoch01
3205,Emmanuel Mudiay,2016,2022,G,6-3,200.0,March 5 1996,,mudiaem01
3206,Erwin Mueller,1967,1974,C-F,6-8,230.0,March 12 1944,San Francisco,mueller01
3207,Shabazz Muhammad,2014,2018,F-G,6-6,223.0,November 13 1992,UCLA,muhamsh01
3208,Mychal Mulder,2020,2022,G-F,6-3,184.0,June 12 1994,Vincennes University Kentucky,muldemy01
3209,Joe Mullaney,1950,1950,G,6-0,165.0,November 17 1924,Holy Cross,mullajo01
3210,Bob Mullens,1947,1947,G,6-1,175.0,November 1 1922,Fordham,mullebo01
3211,Byron Mullens,2010,2014,C,7-0,275.0,February 14 1989,Ohio State,mulleby01
3212,Chris Mullin,1986,2001,F-G,6-6,200.0,July 30 1963,St. John's,mullich01
3213,Jeff Mullins,1965,1976,G-F,6-4,190.0,March 18 1942,Duke,mullije01
3214,Todd Mundt,1996,1996,C,7-0,250.0,May 17 1970,Memphis Delta State University,mundtto01
3215,Xavier Munford,2016,2018,G,6-2,180.0,June 1 1992,Rhode Island,munfoxa02
3216,Chris Munk,1991,1991,F,6-9,225.0,August 5 1967,USC,munkch01
3217,George Munroe,1947,1948,G,5-11,170.0,January 5 1922,Dartmouth College,munroge01
3218,Eric Murdock,1992,2000,G,6-1,190.0,June 14 1968,Providence,murdoer01
3219,Gheorghe Muresan,1994,2000,C,7-7,303.0,February 14 1971,,muresgh01
3220,Ade Murkey,2022,2022,G,6-5,200.0,January 29 1998,Denver,murkead01
3221,Allen Murphy,1976,1977,G,6-5,190.0,July 15 1952,Louisville,murphal01
3222,Calvin Murphy,1971,1983,G,5-9,165.0,May 9 1948,Niagara University,murphca01
3223,Dick Murphy,1947,1947,G,6-1,175.0,March 10 1921,Manhattan College,murphdi01
3224,Erik Murphy,2014,2014,F,6-10,230.0,October 26 1990,Florida,murpher01
3225,Jay Murphy,1985,1988,F,6-9,220.0,June 26 1962,Boston College,murphja01
3226,John Murphy,1947,1947,F,6-2,175.0,September 13 1924,,murphjo01
3227,Kevin Murphy,2013,2013,G,6-5,185.0,March 6 1990,Tennessee Technological University,murphke01
3228,Ronnie Murphy,1988,1988,F,6-5,225.0,July 29 1964,Jacksonville University,murphro01
3229,Tod Murphy,1988,1994,C-F,6-9,220.0,December 24 1963,University of California Irvine,murphto01
3230,Trey Murphy III,2022,2023,F,6-9,206.0,June 18 2000,Rice University Virginia,murphtr02
3231,Troy Murphy,2002,2013,F-C,6-11,245.0,May 2 1980,Notre Dame,murphtr01
3232,Dejounte Murray,2017,2023,G,6-4,180.0,September 19 1996,Washington,murrade01
3233,Jamal Murray,2017,2023,G,6-3,215.0,February 23 1997,Kentucky,murraja01
3234,Keegan Murray,2023,2023,F,6-8,215.0,August 19 2000,Iowa,murrake02
